                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     172                                      793                  1.1000000000000001E+000                  2.9999999999999999E-002                  8.1901792783211216E+007                  1.0957049740232581E+007                  5.7854028610437135E+003                  9.9954051213112360E-001                  9.9514450524115983E-001                 -1.8675293044589238E+000                  6.6594672682812195E-001                  3.6711736316018819E-005                  3.0317627812572234E-001                  1.2720884326458464E-004                  7.4008020709890399E-003                  1.4068903015890109E-002                  3.1275366358125408E-003                  1.1000000000000001E+000                  0.0000000000000000E+000                  7.3638642333549187E-001                  1.3585277891696484E-004                  3.3039047764388019E-001                  5.1638027590665825E-003                  2.2779696651040013E-003                  1.5477767499874335E-002                  3.4402902993937957E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4730523617081781E+003                  2.8647038259689573E+007                  1.1005056690045372E+010                  9.8977379533449006E-001                  9.8977379533448995E-001                  3.8684603554011539E-046                  2.4923824938363280E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.5846240159354665E+015                               "r22.11.1"                               "gfortran"                                 "12.2.0"                   "x86_64-macos-22.10.1"                                 "CRMATH"                               "20230513"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.1000000000000001E+000                 -2.1138506391193868E-003                  3.7628979691377462E+000                 -6.8244633216596720E+000                  4.7284142809007248E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.0139040331795809E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.0999999999989003E+000                 -2.1153712363237375E-003                  3.7641775041383312E+000                 -6.8157613993998343E+000                  4.7383978931737829E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.0546786852041177E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.0999999999975252E+000                 -2.1172342985187678E-003                  3.7656292517808323E+000                 -6.8063854468012241E+000                  4.7492282797563119E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.0995362415732284E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.0999999999961501E+000                 -2.1190575934722229E-003                  3.7678504974530465E+000                 -6.7928555637154018E+000                  4.7649839513228915E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.1659996742842228E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.0999999999934003E+000                 -2.1225923953762855E-003                  3.7709387720922889E+000                 -6.7757944323637176E+000                  4.7851406066040285E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.2528179572407808E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.0999999999906500E+000                 -2.1259911072516601E-003                  3.7741542944703501E+000                 -6.7597554710141035E+000                  4.8044036799601697E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.3376062811713872E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.0999999999879002E+000                 -2.1292666660450901E-003                  3.7779183570930948E+000                 -6.7428339539819611E+000                  4.8251005994301037E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.4305225858857172E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.0999999999844627E+000                 -2.1332047476882664E-003                  3.7823181407298785E+000                 -6.7253521572431083E+000                  4.8469972292198333E+000                  6.7000000000000015E-001                  3.0000000000000004E-001                  2.9999999999999805E-002                  2.5303966280459586E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.0999999999810253E+000                 -2.1369875574408208E-003                  3.7869470632681703E+000                 -6.7091529011114979E+000                  4.8678433542054735E+000                  6.7000000000000015E-001                  2.9999999999999999E-001                  2.9999999999999805E-002                  2.6266040125906489E-026                  0.0000000000000000E+000                  0.0000000000000000E+000 
